Date,Bench 3,Bench 5,Taille de la trame,Mac_Src,Mac_Dst,Type,Field_2,Field_3,Field_4,Field_5,Field_6,Field_7,MAC_Sender,Source_IP,Sender_IP,Dest_IP,MAC_Target,Field_9,Target_IP,Field_10,Field_11,Field_14,Field_16,Field_17,Field_18,Field_20,Field_21,Field_23,Field_25,Field_26,Field_28,Field_29,Field_30,Field_32,Field_33_34_35,Time Packet (cal),PMID
2022-03-04 15:37:01.808,3,1 FT_0_label_1,246,00:1f:29:57:94:f (ordi_4),00:10:EC:01:E5:43 (ordi_2),800,17664,228,10730,0,64,17,,169.254.174.5 (ordi_3),,169.254.174.223 (ordi_4),,12501,,12500,208,0 FT_7_label_1,000,0 FT_5_label_1,0 FT_2_label_1,367,193,0,0,0,3 FT_3_label_4,15 FT_4_label_16,1,0(unknown),1001050.7547302246,2000-01-13 02:04:10.754,33c01(MID_1)
2022-03-04 15:37:01.883,3,1 FT_0_label_1,210,00:1f:29:57:94:f (ordi_4),00:10:EC:01:E5:43 (ordi_2),800,17664,192,10731,0,64,17,,169.254.174.5 (ordi_3),,169.254.174.223 (ordi_4),,12501,,12500,172,0 FT_7_label_1,000,0 FT_5_label_1,0 FT_2_label_1,367,157,0,0,0,3 FT_3_label_4,15 FT_4_label_16,5,0(unknown),1001050.7679290771,2000-01-13 02:04:10.767,33c05(MID_5)
2022-03-04 15:37:01.908,3,1 FT_0_label_1,94,00:1f:29:57:94:f (ordi_4),00:10:EC:01:E5:43 (ordi_2),800,17664,76,10732,0,64,17,,169.254.174.5 (ordi_3),,169.254.174.223 (ordi_4),,12501,,12500,56,0 FT_7_label_1,000,0 FT_5_label_1,0 FT_2_label_1,367,41,0,0,0,3 FT_3_label_4,15 FT_4_label_16,8,0(unknown),1001050.8079223633,2000-01-13 02:04:10.807,33c08(MID_8)
2022-03-04 15:37:01.908,3,1 FT_0_label_1,342,00:1f:29:57:94:f (ordi_4),00:10:EC:01:E5:43 (ordi_2),800,17664,324,10733,0,64,17,,169.254.174.5 (ordi_3),,169.254.174.223 (ordi_4),,12501,,12500,304,0 FT_7_label_1,000,0 FT_5_label_1,0 FT_2_label_1,46,289,0,0,0,3 FT_3_label_4,15 FT_4_label_16,448,0(unknown),1001050.8079833984,2000-01-13 02:04:10.807,33dc0(MID_65)
2022-03-04 15:37:01.983,3,1 FT_0_label_1,350,00:1f:29:57:94:f (ordi_4),00:10:EC:01:E5:43 (ordi_2),800,17664,332,10734,0,64,17,,169.254.174.5 (ordi_3),,169.254.174.223 (ordi_4),,12501,,12500,312,0 FT_7_label_1,000,0 FT_5_label_1,0 FT_2_label_1,367,297,0,0,0,3 FT_3_label_4,15 FT_4_label_16,12,0(unknown),1001050.8213348389,2000-01-13 02:04:10.821,33c0c(MID_12)
2022-03-04 15:37:02.009,3,1 FT_0_label_1,98,00:1f:29:57:94:f (ordi_4),00:10:EC:01:E5:43 (ordi_2),800,17664,80,10735,0,64,17,,169.254.174.5 (ordi_3),,169.254.174.223 (ordi_4),,12501,,12500,60,0 FT_7_label_1,000,0 FT_5_label_1,0 FT_2_label_1,322,45,0,0,0,3 FT_3_label_4,15 FT_4_label_16,15,0(unknown),1001050.8612670898,2000-01-13 02:04:10.861,33c0f(MID_15)
2022-03-04 15:37:02.009,3,1 FT_0_label_1,590,00:1f:29:57:94:f (ordi_4),00:10:EC:01:E5:43 (ordi_2),800,17664,572,10736,0,64,17,,169.254.174.5 (ordi_3),,169.254.174.223 (ordi_4),,12501,,12500,552,0 FT_7_label_1,000,0 FT_5_label_1,0 FT_2_label_1,368,537,0,0,0,3 FT_3_label_4,15 FT_4_label_16,272,0(unknown),1001050.8744812012,2000-01-13 02:04:10.874,33d10(MID_61)
2022-03-04 15:37:02.059,3,1 FT_0_label_1,246,00:1f:29:57:94:f (ordi_4),00:10:EC:01:E5:43 (ordi_2),800,17664,228,10737,0,64,17,,169.254.174.5 (ordi_3),,169.254.174.223 (ordi_4),,12501,,12500,208,0 FT_7_label_1,000,0 FT_5_label_1,0 FT_2_label_1,368,193,0,0,0,3 FT_3_label_4,15 FT_4_label_16,1,0(unknown),1001050.874710083,2000-01-13 02:04:10.874,33c01(MID_1)
2022-03-04 15:37:02.084,3,1 FT_0_label_1,210,00:1f:29:57:94:f (ordi_4),00:10:EC:01:E5:43 (ordi_2),800,17664,192,10738,0,64,17,,169.254.174.5 (ordi_3),,169.254.174.223 (ordi_4),,12501,,12500,172,0 FT_7_label_1,000,0 FT_5_label_1,0 FT_2_label_1,368,157,0,0,0,3 FT_3_label_4,15 FT_4_label_16,5,0(unknown),1001050.901260376,2000-01-13 02:04:10.901,33c05(MID_5)
2022-03-04 15:37:02.158,3,1 FT_0_label_1,94,00:1f:29:57:94:f (ordi_4),00:10:EC:01:E5:43 (ordi_2),800,17664,76,10739,0,64,17,,169.254.174.5 (ordi_3),,169.254.174.223 (ordi_4),,12501,,12500,56,0 FT_7_label_1,000,0 FT_5_label_1,0 FT_2_label_1,368,41,0,0,0,3 FT_3_label_4,15 FT_4_label_16,8,0(unknown),1001050.9145965576,2000-01-13 02:04:10.914,33c08(MID_8)
2022-03-04 15:37:02.190,3,1 FT_0_label_1,350,00:1f:29:57:94:f (ordi_4),00:10:EC:01:E5:43 (ordi_2),800,17664,332,10740,0,64,17,,169.254.174.5 (ordi_3),,169.254.174.223 (ordi_4),,12501,,12500,312,0 FT_7_label_1,000,0 FT_5_label_1,0 FT_2_label_1,368,297,0,0,0,3 FT_3_label_4,15 FT_4_label_16,12,0(unknown),1001050.9546051025,2000-01-13 02:04:10.954,33c0c(MID_12)
2022-03-04 15:37:02.261,3,1 FT_0_label_1,118,00:1f:29:57:94:f (ordi_4),00:10:EC:01:E5:43 (ordi_2),800,17664,100,10741,0,64,17,,169.254.174.5 (ordi_3),,169.254.174.223 (ordi_4),,12501,,12500,80,0 FT_7_label_1,000,0 FT_5_label_1,0 FT_2_label_1,46,65,0,0,0,3 FT_3_label_4,15 FT_4_label_16,27,0(unknown),1001050.9711151123,2000-01-13 02:04:10.971,33c1b(MID_27)
